product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2,promo_discount_type_2
P0005,S0040,2017-01-02,0.0,0.0,7.0,33.9,PR14,,PR03,,,
P0005,S0043,2017-01-02,0.0,0.0,7.0,33.9,PR14,,PR03,,,
P0005,S0050,2017-01-02,0.0,0.0,5.0,33.9,PR14,,PR03,,,
P0005,S0051,2017-01-02,0.0,0.0,4.0,33.9,PR14,,PR03,,,
P0005,S0056,2017-01-02,0.0,0.0,4.0,33.9,PR14,,PR03,,,
P0005,S0065,2017-01-02,0.0,0.0,4.0,33.9,PR14,,PR03,,,
P0005,S0066,2017-01-02,0.0,0.0,6.0,33.9,PR14,,PR03,,,
P0005,S0085,2017-01-02,0.0,0.0,17.0,33.9,PR14,,PR03,,,
P0005,S0087,2017-01-02,0.0,0.0,4.0,33.9,PR14,,PR03,,,
P0005,S0097,2017-01-02,0.0,0.0,6.0,33.9,PR14,,PR03,,,
P0005,S0102,2017-01-02,0.0,0.0,4.0,33.9,PR14,,PR03,,,
P0005,S0104,2017-01-02,0.0,0.0,3.0,33.9,PR14,,PR03,,,
P0005,S0108,2017-01-02,0.0,0.0,5.0,33.9,PR14,,PR03,,,
P0005,S0110,2017-01-02,0.0,0.0,7.0,33.9,PR14,,PR03,,,
P0005,S0113,2017-01-02,0.0,0.0,5.0,33.9,PR14,,PR03,,,
P0005,S0132,2017-01-02,0.0,0.0,5.0,33.9,PR14,,PR03,,,
P0005,S0138,2017-01-02,0.0,0.0,5.0,33.9,PR14,,PR03,,,
P0005,S0142,2017-01-02,0.0,0.0,2.0,33.9,PR14,,PR03,,,
P0011,S0001,2017-01-02,0.0,0.0,10.0,49.9,PR14,,PR03,,,
P0011,S0002,2017-01-02,0.0,0.0,9.0,49.9,PR14,,PR03,,,
P0011,S0013,2017-01-02,0.0,0.0,4.0,49.9,PR14,,PR03,,,
P0011,S0038,2017-01-02,0.0,0.0,9.0,49.9,PR14,,PR03,,,
P0011,S0040,2017-01-02,0.0,0.0,4.0,49.9,PR14,,PR03,,,
P0011,S0043,2017-01-02,0.0,0.0,2.0,49.9,PR14,,PR03,,,
P0011,S0056,2017-01-02,0.0,0.0,4.0,49.9,PR14,,PR03,,,
P0011,S0066,2017-01-02,0.0,0.0,5.0,49.9,PR14,,PR03,,,
P0011,S0085,2017-01-02,0.0,0.0,1.0,49.9,PR14,,PR03,,,
P0011,S0094,2017-01-02,0.0,0.0,3.0,49.9,PR14,,PR03,,,
P0011,S0104,2017-01-02,0.0,0.0,8.0,49.9,PR14,,PR03,,,
P0011,S0108,2017-01-02,0.0,0.0,8.0,49.9,PR14,,PR03,,,
P0011,S0115,2017-01-02,0.0,0.0,2.0,49.9,PR14,,PR03,,,
P0011,S0132,2017-01-02,0.0,0.0,9.0,49.9,PR14,,PR03,,,
P0014,S0085,2017-01-02,0.0,0.0,1.0,59.99,PR14,,PR03,,,
P0014,S0097,2017-01-02,0.0,0.0,1.0,59.99,PR14,,PR03,,,
P0015,S0001,2017-01-02,1.0,2.41,20.0,2.6,PR14,,PR03,,,
P0015,S0002,2017-01-02,1.0,2.41,19.0,2.6,PR14,,PR03,,,
P0015,S0003,2017-01-02,0.0,0.0,5.0,2.6,PR14,,PR03,,,
P0015,S0004,2017-01-02,0.0,0.0,11.0,2.6,PR14,,PR03,,,
P0015,S0008,2017-01-02,0.0,0.0,6.0,2.6,PR14,,PR03,,,
P0015,S0009,2017-01-02,0.0,0.0,20.0,2.6,PR14,,PR03,,,
P0015,S0011,2017-01-02,0.0,0.0,7.0,2.6,PR14,,PR03,,,
P0015,S0012,2017-01-02,0.0,0.0,6.0,2.6,PR14,,PR03,,,
P0015,S0013,2017-01-02,0.0,0.0,3.0,2.6,PR14,,PR03,,,
P0015,S0014,2017-01-02,0.0,0.0,14.0,2.6,PR14,,PR03,,,
P0015,S0016,2017-01-02,0.0,0.0,16.0,2.6,PR14,,PR03,,,
P0015,S0021,2017-01-02,0.0,0.0,9.0,2.6,PR14,,PR03,,,
P0015,S0023,2017-01-02,0.0,0.0,12.0,2.6,PR14,,PR03,,,
P0015,S0024,2017-01-02,0.0,0.0,16.0,2.6,PR14,,PR03,,,
